video,distortion,trend,severity,error,error_pct,tp,fp,fn,ssim,psnr
0001,TAESD,rises,1.0,0.3971212836243511,39.71212836243511,2555,391,1292,0.8205545030651393,25.438674103460432
0001,TAESDXL,rises,2.0,0.42139995286353993,42.139995286353994,2455,396,1392,0.8414084755594953,30.70990851665869
0001,SD-VAE-MSE,rises,3.0,0.34361130576967996,34.361130576967994,2810,434,1037,0.8791761880404405,32.82384292774073
0001,SD-VAE-EMA,rises,4.0,0.338314265701611,33.8314265701611,2834,436,1013,0.8692998192557422,32.40673381102439
0001,SDXL-VAE,rises,5.0,0.3269410664172123,32.694106641721234,2878,429,969,0.8970250885413308,33.59162641097109
0002,TAESD,rises,1.0,0.5676822213652141,56.76822213652141,1121,347,1125,0.9456256864064387,25.561469502354715
0002,TAESDXL,rises,2.0,0.5454197010348792,54.54197010348793,1186,363,1060,0.9562738305771917,34.35227907312794
0002,SD-VAE-MSE,rises,3.0,0.46830723340790453,46.830723340790456,1426,436,820,0.9622352125500065,36.554140504030585
0002,SD-VAE-EMA,rises,4.0,0.4545793000744602,45.457930007446016,1465,440,781,0.9609630831537481,36.18536266413484
0002,SDXL-VAE,rises,5.0,0.43111279333838004,43.111279333838006,1503,396,743,0.9668677191666709,36.92556940626672
0003,TAESD,rises,1.0,0.39284821205301323,39.28482120530133,2428,366,1205,0.8486275035156533,25.089906435423018
0003,TAESDXL,rises,2.0,0.40931738913801696,40.931738913801695,2371,381,1262,0.8708499702792775,31.40429227224899
0003,SD-VAE-MSE,rises,3.0,0.33110946380034595,33.1109463800346,2707,414,926,0.9065829724893398,33.70834816342335
0003,SD-VAE-EMA,rises,4.0,0.3394088669950739,33.94088669950739,2682,427,951,0.9006086013050508,33.381743366937805
0003,SDXL-VAE,rises,5.0,0.3100717644147488,31.007176441474883,2788,408,845,0.9240453226736752,34.71808262309193
0004,TAESD,rises,1.0,0.726797385620915,72.6797385620915,627,207,1461,0.9599540817486177,26.580521216112086
0004,TAESDXL,rises,2.0,0.7047578589634664,70.47578589634665,695,266,1393,0.9673372562051085,35.17337476367201
0004,SD-VAE-MSE,rises,3.0,0.6150679291889667,61.50679291889667,935,341,1153,0.969919698727848,37.67564462550296
0004,SD-VAE-EMA,rises,4.0,0.6279362416107382,62.79362416107382,887,296,1201,0.9694225267376662,37.581497711110906
0004,SDXL-VAE,rises,5.0,0.5573448546739984,55.73448546739984,1127,458,961,0.9718572905124814,37.185823980474154
0005,TAESD,rises,1.0,0.42067415730337077,42.067415730337075,2578,308,1564,0.8611217559895424,25.543251283765976
0005,TAESDXL,rises,2.0,0.4083969465648855,40.839694656488554,2635,312,1507,0.8754225649626275,30.35826525523247
0005,SD-VAE-MSE,rises,3.0,0.33741921105415645,33.74192110541564,2973,345,1169,0.8872483440897332,31.279512507660435
0005,SD-VAE-EMA,rises,4.0,0.32969723953695457,32.96972395369546,3011,350,1131,0.881424170407185,30.597381934364734
0005,SDXL-VAE,rises,5.0,0.30757238307349666,30.757238307349667,3109,348,1033,0.8984790797216881,31.674911062995175
